column_id;station_id;station_name;elevation;start_station_latitude;start_station_longitude
1;3;Grieghallen;2.770652532577515;60.3881966737443; 5.32856413708942
2;5;Moxy Hotellet;0;60.3787827901875;5.33332748721023
3;7;Neumanns gate;8.748368263244629;60.3913858066772; 5.31919486719227
4;8;Haukeland sykehus;47.99969482421875;60.3736379206283;5.35659456239955
5;22;Skur 11;1.662467122077942;60.3963842311317;5.32416933761851
6;24;Studentboligene;1.988372564315796;60.3783167377471;5.35089745865275
7;33;H gskulen p  Vestlandet;26.31832122802734;60.3691798449766;5.34944379316585
8;34;Cornerteateret;2.312758207321167;60.3824694987782;5.32609348920866
9;36;Torgallmenningen;6.2198486328125;60.3929176902991;5.32366909280933
10;49;Studentsenteret UiB;21.4028148651123;60.3871980179501;5.32298004623954
11;58;T rnplass;7.180906295776367;60.3937553200247;5.32179209580136
12;69;Laksev g v/Kirkebukten;2.618888378143311;60.3860687776909;5.30010830727406
13;70;Laksev g senter;15.16172313690186;60.3896321569168;5.28651647068341
14;75;Akvariet;15.15479373931885;60.3998765227295;5.30468630789073
15;82;Den Nationale Scene;12.73719215393066;60.3924553616501;5.32018517609686
16;83;Bergen jernbanestasjon;4.244898796081543;60.3904141105224;5.33265045382339
17;87;AdO arena;1.777705430984497;60.3854312433031;5.33743178006262
18;98;Brann Stadion;24.13960647583008;60.3674254531905;5.35519106343747
19;116;Lysverket;2.308919191360474;60.389626222558;5.3298637396027
20;117;Verftet;1.411977410316467;60.395877002094;5.3077558277073
21;131;Gulating;2.9550461769104;60.3919836004134;5.32661819461282
22;132;N stetorget;1.945515632629395;60.39222;5.314881
23;138;C. Sundts gate;2.167876720428467;60.3994750633656;5.30876220443056
24;140;Sandviksbodene;3.027030944824219;60.4056950168943;5.32337352633476
25;150;Torget;2.003290414810181;60.3958780866388;5.32528381231305
26;151;Sm strandgaten;4.89091682434082;60.3930981224131;5.32702272492588
27;156;Allehelgens plass;7.672035217285156;60.3926514633774;5.32897691198161
28;157;Florida Bybanestopp;4.800014019012451;60.3822547455628;5.33233246991085
29;212;Klosteret;24.91564750671387;60.3951379430824;5.31494663038802
30;214;Nyg rdsporten;8.37886905670166;60.3839343833222;5.33345045451165
31;215;Nonneseterplass;2.98307991027832;60.3896720235288;5.33360508520195
32;216;Johanneskirken;26.1290397644043;60.3885300248931;5.31866523146437
33;217;Nykirkekaien;2.079164743423462;60.3970573891452;5.3145484821398
34;219;Jonsvollkvartalet;4.519919872283936;60.3926768352763;5.31730828518914
35;220;M llendalsplass;2.174250364303589;60.3796857654707;5.35199363048093
36;221;Sandvikstorget;1.966197490692139;60.4085821027847;5.32264858314181
37;222;Sandviken Brygge;2.010005950927734;60.4129456827423;5.32087030902184
38;223;R dhuset;1.736814975738525;60.3914843885914;5.32851919792074
39;298; stre Murallmenningen  vre;20.23798370361328;60.3939767786377;5.31871323611858
40;301;Lars Hilles;2.392879247665405;60.3881178890904;5.33148723559725
41;367;Haraldsplass;46.8240509033203;60.3791112436061;5.36120228399477
42;368;Festplassen;1.832130432128906;60.3911239589824;5.32571378589341
43;638;Damsg rdsallmenningen;3.30233359336853;60.3867091497868;5.2991301125578
44;639;Frydenb  Marina;2.021989107131958;60.3844673410266;5.31000771799597
45;640;Damsg rdsveien;7.482509136199951;60.3815115019954;5.31943536415213
46;641;Krohnviken;2.036252737045288;60.378107213674;5.33102076951923
47;642;B hmergaten;21.19382095336914;60.3762527958729;5.33427610461274
48;644;Solheimsgaten (ved Extra);14.81927299499512;60.3751405513207;5.33851742142076
49;645;Odontologen;54.99328231811523;60.38103776618;5.35905189499951
50;646;Bj rnsonsgate;21.0476131439209;60.3739859398571;5.34208213717807
51;788;Danmarksplass;12.00794315338135;60.3760829948099;5.33985140905804
52;789;Busstasjonen 1 Nord;2.541831254959106;60.3889097788905;5.33381711978313
53;790;Busstasjonen 3   st;1.612367510795593;60.3878563373304;5.33445921976408
54;791;Busstasjonen 4 S r;2.106158494949341;60.3870587893542;5.33563391173072
55;792;Busstasjonen 2 Vest;2.464603900909424;60.3882838335414;5.33287268037247
56;793;Zander Kaaes gate;5.6109938621521;60.3901087179399;5.33538743375743
57;794;St. Jakobs Plass;2.250325679779053;60.3866814958484;5.3309780770646
58;795;Fosswinckels gate;9.204354286193848;60.3865816659322;5.32797874463574
59;796;Str mgaten;20.46717834472656;60.3865823804728;5.32604107418243
60;797;John Lunds plass;13.73145961761475;60.3882473249697;5.32455821168264
61;798;H.M. Pinnsvinet;24.22918319702148;60.3880821054672;5.32071207134732
62;799;HF-Bygget;26.1379451751709;60.3878537133748;5.31871285242823
63;800;Magnus Lagab tes Plass;24.87916564941406;60.389722262002;5.31485418983483
64;802;H konsgaten;7.881763935089111;60.3911846104811;5.3180262982828
65;803;Permanenten;1.423577308654785;60.3906427466302;5.32439743039856
66;804;Stenersen;1.998003959655762;60.39017406114;5.3247922076697
67;806;Dreggsallmenningen S r;3.132104396820068;60.3977090289384;5.32200057798218
68;807;Dreggsallmenningen Nord;4.532925128936768;60.3986564937325;5.32214258645649
69;808;Damsg rdsveien 71;2.199480295181274;60.3802627137799;5.32322314688363
70;809;Skutevikstorget;1.928245782852173;60.4022287691128;5.32074472352861
71;810;Amalie Skrams vei S r;19.77841758728027;60.4080969930058;5.32551089904717
72;811;Amalie Skrams vei Nord;16.84379577636719;60.4109291824606;5.32466277015328
73;812;Hans Hauges gate;24.43018913269043;60.4019055301322;5.32474776783943
74;814;Nykirken;6.126056671142578;60.3969492243333;5.31349472772774
